inicio;varinicio;varfim;pt_v;id;vir;inteiro;real;literal;leia;escreva;lit;num;atr;opa;se;ab_p;fc_p;entao;opr;fimse;fim;$
E45;E45;E45;r21;E45;E45;E45;E45;E45;E45;E45;E45;E45;E45;r21;E45;E45;r21;E45;r21;E45;E45;E45
E46;E46;E46;r22;E46;E46;E46;E46;E46;E46;E46;E46;E46;E46;r22;E46;E46;r22;E46;r22;E46;E46;E46
E47;E47;E47;E47;r27;E47;E47;E47;E47;r27;r27;E47;E47;E47;E47;r27;E47;E47;E47;E47;r27;r27;E47
E48;E48;E48;E48;r28;E48;E48;E48;E48;r28;r28;E48;E48;E48;E48;r28;E48;E48;E48;E48;r28;r28;E48
E49;E49;E49;E49;r29;E49;E49;E49;E49;r29;r29;E49;E49;E49;E49;r29;E49;E49;E49;E49;r29;r29;E49
E50;E50;E50;E50;E50;E50;E50;E50;E50;E50;E50;E50;E50;E50;E50;E50;E50;s56;E50;E50;E50;E50;E50
E51;E51;E51;E51;E51;E51;E51;E51;E51;E51;E51;E51;E51;E51;E51;E51;E51;E51;E51;s57;E51;E51;E51
E52;E52;r5;E52;E52;E52;r5;r5;r5;E52;E52;E52;E52;E52;E52;E52;E52;E52;E52;E52;E52;E52;E52
E53;E53;E53;E53;s40;E53;E53;E53;E53;E53;E53;E53;E53;E53;E53;E53;E53;E53;E53;E53;E53;E53;E53
E54;E54;E54;E54;r18;E54;E54;E54;E54;r18;r18;E54;E54;E54;E54;r18;E54;E54;E54;E54;r18;r18;E54
E55;E55;E55;E55;s45;E55;E55;E55;E55;E55;E55;E55;s46;E55;E55;E55;E55;E55;E55;E55;E55;E55;E55
E56;E56;E56;E56;E56;E56;E56;E56;E56;E56;E56;E56;E56;E56;E56;E56;E56;E56;s60;E56;E56;E56;E56
E57;E57;E57;E57;s45;E57;E57;E57;E57;E57;E57;E57;s46;E57;E57;E57;E57;E57;E57;E57;E57;E57;E57
E58;E58;E58;r6;E58;E58;E58;E58;E58;E58;E58;E58;E58;E58;E58;E58;E58;E58;E58;E58;E58;E58;E58
E59;E59;E59;r19;E59;E59;E59;E59;E59;E59;E59;E59;E59;E59;E59;E59;E59;E59;E59;E59;E59;E59;E59
E60;E60;E60;E60;r25;E60;E60;E60;E60;r25;r25;E60;E60;E60;E60;r25;E60;E60;E60;E60;r25;E60;E60
E61;E61;E61;E61;E61;E61;E61;E61;E61;E61;E61;E61;E61;E61;E61;E61;E61;r26;E61;E61;E61;E61;E61
